step,mean_vel_x,mean_abs_vx_error,p2_fault_active_mean,mean_abs_yaw_error,done_count,no_nan_inf
295,0.9550797939300537,0.16514457762241364,1.0,0.14884132146835327,0,True
296,0.9565732479095459,0.16068890690803528,1.0,0.14452135562896729,0,True
297,0.9498269557952881,0.14718517661094666,1.0,0.16066953539848328,0,True
298,0.9545021653175354,0.1634727418422699,1.0,0.14284652471542358,0,True
299,0.9582892656326294,0.1737920194864273,1.0,0.13517899811267853,0,True
300,0.9446337223052979,0.17234688997268677,1.0,0.15824458003044128,0,True
301,0.9368534088134766,0.16929033398628235,1.0,0.15799933671951294,0,True
302,0.9417351484298706,0.1813918948173523,1.0,0.15812227129936218,0,True
303,0.9309463500976562,0.16657796502113342,1.0,0.14484524726867676,0,True
304,0.9298499822616577,0.17036253213882446,1.0,0.16583478450775146,0,True
305,0.9424476623535156,0.16316214203834534,1.0,0.14573395252227783,0,True
306,0.9442243576049805,0.16542330384254456,1.0,0.15565311908721924,0,True
307,0.9625598788261414,0.1789432168006897,1.0,0.1777147501707077,0,True
308,0.9573922157287598,0.18155036866664886,1.0,0.1740393489599228,0,True
309,0.9459254145622253,0.16602851450443268,1.0,0.16600251197814941,0,True
310,0.937655508518219,0.16896376013755798,1.0,0.16330644488334656,0,True
311,0.9458801746368408,0.16677594184875488,1.0,0.1664808690547943,0,True
312,0.9485858678817749,0.16758081316947937,1.0,0.1945778876543045,0,True
313,0.9462218880653381,0.15889309346675873,1.0,0.1781420111656189,0,True
314,0.9595659375190735,0.16996805369853973,1.0,0.16894879937171936,0,True
315,0.961057186126709,0.15671265125274658,1.0,0.15772905945777893,0,True
316,0.947991132736206,0.1566917598247528,1.0,0.1491623818874359,0,True
317,0.947746992111206,0.1549985557794571,1.0,0.15726789832115173,0,True
318,0.9563953876495361,0.17472456395626068,1.0,0.15573275089263916,0,True
319,0.9663111567497253,0.18384867906570435,1.0,0.16871607303619385,0,True
320,0.9600406885147095,0.17449478805065155,1.0,0.17458808422088623,0,True
321,0.9348348379135132,0.17728519439697266,1.0,0.16141369938850403,0,True
322,0.9255909323692322,0.16704589128494263,1.0,0.14405521750450134,0,True
323,0.9354069232940674,0.16395917534828186,1.0,0.1791919320821762,0,True
324,0.947685718536377,0.16090533137321472,1.0,0.1863967925310135,0,True
325,0.9509583115577698,0.16176612675189972,1.0,0.1844651848077774,0,True
326,0.9478987455368042,0.15386277437210083,1.0,0.1769985854625702,0,True
327,0.9467508792877197,0.1583511382341385,1.0,0.15628720819950104,0,True
328,0.9651235938072205,0.1652544140815735,1.0,0.1568610668182373,0,True
